file,old,new,rule,source,class,occurrences,lines,note
cloud-cybersecurity-companion.md,E7.4,SEC-E7.4,SEC-07,§5,rename,3,1115 1929 2622,exercise bank
cloud-cybersecurity-companion.md,E7.5,SEC-E7.5,SEC-07,§5,rename,4,378 1133 1936 2621,exercise bank
cloud-cybersecurity-companion.md,E7.6,SEC-E7.6,SEC-07,§5,rename,2,707 1943,exercise bank
cloud-cybersecurity-companion.md,E7.7,SEC-E7.7,SEC-07,§5,rename,2,1142 1950,exercise bank
cloud-cybersecurity-companion.md,E7.8,SEC-E7.8,SEC-07,§5,rename,2,1151 1957,exercise bank
cloud-cybersecurity-companion.md,E8.1,SEC-E8.1,SEC-07,§5,rename,4,1274 1294 1303 1966,exercise bank
cloud-cybersecurity-companion.md,E8.2,SEC-E8.2,SEC-07,§5,rename,3,239 716 1973,exercise bank
cloud-cybersecurity-companion.md,E8.3,SEC-E8.3,SEC-07,§5,rename,3,1171 1980 2625,exercise bank
cloud-cybersecurity-companion.md,E8.4,SEC-E8.4,SEC-07,§5,rename,2,1180 1987,exercise bank
cloud-cybersecurity-companion.md,E8.5,SEC-E8.5,SEC-07,§5,rename,3,405 1994 2627,exercise bank
cloud-cybersecurity-companion.md,E8.6,SEC-E8.6,SEC-07,§5,rename,4,1189 1256 2001 2626,exercise bank
cloud-cybersecurity-companion.md,E8.7,SEC-E8.7,SEC-07,§5,rename,2,1198 2008,exercise bank
cloud-cybersecurity-companion.md,E8.8,SEC-E8.8,SEC-07,§5,rename,2,1207 2015,exercise bank
cloud-cybersecurity-companion.md,E8.9,SEC-E8.9,SEC-07,§5,rename,2,1227 2022,exercise bank
cloud-cybersecurity-companion.md,E8.10,SEC-E8.10,SEC-07,§5,rename,2,1283 2029,exercise bank
cloud-cybersecurity-companion.md,E9,SEC-E9,SEC-08,§5 [resolved-by-default],rename,1,2644,bare level form; CR-E shorthand ('CR-E1…E8') excluded
cloud-cybersecurity-companion.md,E9.1,SEC-E9.1,SEC-07,§5,rename,2,2238 2645,exercise bank
cloud-cybersecurity-companion.md,E9.2,SEC-E9.2,SEC-07,§5,rename,2,2245 2646,exercise bank
cloud-cybersecurity-companion.md,E9.3,SEC-E9.3,SEC-07,§5,rename,2,2252 2647,exercise bank
cloud-cybersecurity-companion.md,E9.4,SEC-E9.4,SEC-07,§5,rename,1,2259,exercise bank
cloud-cybersecurity-companion.md,E9.5,SEC-E9.5,SEC-07,§5,rename,2,2266 2648,exercise bank
cloud-cybersecurity-companion.md,E9.6,SEC-E9.6,SEC-07,§5,rename,1,2273,exercise bank
cloud-cybersecurity-companion.md,E9.7,SEC-E9.7,SEC-07,§5,rename,1,2280,exercise bank
cloud-cybersecurity-companion.md,E9.8,SEC-E9.8,SEC-07,§5,rename,1,2287,exercise bank
cloud-cybersecurity-companion.md,E9.9,SEC-E9.9,SEC-07,§5,rename,1,2294,exercise bank
cloud-cybersecurity-companion.md,E9.10,SEC-E9.10,SEC-07,§5,rename,2,2301 2649,exercise bank
cloud-cybersecurity-companion.md,E10.1,SEC-E10.1,SEC-07,§5,rename,1,2425,exercise bank
cloud-cybersecurity-companion.md,E10.2,SEC-E10.2,SEC-07,§5,rename,1,2432,exercise bank
cloud-cybersecurity-companion.md,E10.3,SEC-E10.3,SEC-07,§5,rename,1,2439,exercise bank
cloud-cybersecurity-companion.md,E10.4,SEC-E10.4,SEC-07,§5,rename,1,2446,exercise bank
cloud-cybersecurity-companion.md,E10.6,SEC-E10.6,SEC-07,§5,rename,1,2460,exercise bank
cloud-cybersecurity-companion.md,E10.7,SEC-E10.7,SEC-07,§5,rename,1,2467,exercise bank
cloud-cybersecurity-companion.md,E10.8,SEC-E10.8,SEC-07,§5,rename,1,2474,exercise bank
cloud-cybersecurity-companion.md,E*,SEC-E*,SEC-09,§5,rename,1,51,wildcard in notation
cloud-cybersecurity-companion.md,EA5 TLS / Phase 4 Armor,SEC-E1.4,SEC-00c,"C-10, §5",correction+rename,2,194 1398,mangled E1.4 (sequence E1.1–E1.3 / E2.1; TH-01 lab = attacker-model picker)
cloud-cybersecurity-companion.md,PR,PV,SEC-06,§5,rename,1,1201,bare family code; only line 1201 (other bare 'PR' = pull request)
cloud-cybersecurity-companion.md,PR-01,PV-01,SEC-05,§5,rename,7,1239 1241 1831 1832 1833 2291 2555,privacy
cloud-cybersecurity-companion.md,PR-02,PV-02,SEC-05,§5,rename,7,1183 1250 2005 2277 2504 2559 2677,privacy
cloud-cybersecurity-companion.md,PR-03,PV-03,SEC-05,§5,rename,4,1259 1901 1902 1903,privacy
cloud-cybersecurity-companion.md,PR-04,PV-04,SEC-05,§5,rename,1,1268,privacy
cloud-cybersecurity-companion.md,PR-05,PV-05,SEC-05,§5,rename,5,1239 1277 2032 2033 2034,privacy
cloud-cybersecurity-companion.md,PR-*,PV-*,SEC-05,§5,rename,5,50 87 108 2675 2687,privacy
cloud-cybersecurity-companion.md,T0,SEC-T0,SEC-12,§5,rename,1,1312,tiers T0–T9 (ATT&CK T1552.005 untouched)
cloud-cybersecurity-companion.md,T1,SEC-T1,SEC-12,§5,rename,2,428 1313,tiers T0–T9 (ATT&CK T1552.005 untouched)
cloud-cybersecurity-companion.md,T2,SEC-T2,SEC-12,§5,rename,3,428 1314 1323,tiers T0–T9 (ATT&CK T1552.005 untouched)
cloud-cybersecurity-companion.md,T3,SEC-T3,SEC-12,§5,rename,1,1315,tiers T0–T9 (ATT&CK T1552.005 untouched)
cloud-cybersecurity-companion.md,T4,SEC-T4,SEC-12,§5,rename,1,1316,tiers T0–T9 (ATT&CK T1552.005 untouched)
cloud-cybersecurity-companion.md,T5,SEC-T5,SEC-12,§5,rename,1,1317,tiers T0–T9 (ATT&CK T1552.005 untouched)
cloud-cybersecurity-companion.md,T6,SEC-T6,SEC-12,§5,rename,1,1318,tiers T0–T9 (ATT&CK T1552.005 untouched)
cloud-cybersecurity-companion.md,T7,SEC-T7,SEC-12,§5,rename,1,1319,tiers T0–T9 (ATT&CK T1552.005 untouched)
cloud-cybersecurity-companion.md,T8,SEC-T8,SEC-12,§5,rename,1,1320,tiers T0–T9 (ATT&CK T1552.005 untouched)
cloud-cybersecurity-companion.md,T9,SEC-T9,SEC-12,§5,rename,1,1321,tiers T0–T9 (ATT&CK T1552.005 untouched)
cloud-cybersecurity-companion.md,Z0,SEC-Z0,SEC-10,§5,rename,25,51 98 138 147 165 1331 1333 1340 1347 1354 1368 2359 …,paper drills
cloud-cybersecurity-companion.md,ZB5 IAM,SEC-Z0.5,SEC-00b,"C-10, §5",correction+rename,1,1361,mangled Z0.5
